051256849-36;Renato B E Lacerda;RLace051;Lac300
088658295-91;Gustavo D G Fernandes;GFern088;Fer967
060848288-43;Lucas G E Ramos;LRamo060;Ram689
095662926-35;Ian G F Gomes;IGome095;Gom506
086812617-03;Erik G E Neves;ENeve086;Nev361
079620698-23;Arthur A C Viçoso;AViço079;Viç622
051882350-60;Davi E E Silva;DSilv051;Sil827
063876653-50;Ian D A Neves;INeve063;Nev318
059469538-30;Fabio D D Leão;FLeão059;Leã488
081554955-62;Ian F E Amaral;IAmar081;Ama804
058950167-05;Lucas F B Alves;LAlve058;Alv654
069658150-06;Petrônio B B Cruz;PCruz069;Cru115
106171304-31;Gabriel A E Moreira;GMore106;Mor936
112502336-10;Lucas E C Lima;LLima112;Lim484
112350329-96;Luis B G Leão;LLeão112;Leã476
065274668-10;Gabriel E F Santos;GSant065;San399
086401067-59;Ana E A Leite;ALeit086;Lei678
046934214-53;Renato D D Pires;RPire046;Pir874
053857737-73;Erik A A Borges;EBorg053;Bor687
067613237-90;Petrônio B C Guerra;PGuer067;Gue385
106560146-29;Helena C E Lacerda;HLace106;Lac546
112790237-07;Lucas E A Leite;LLeit112;Lei916
042450144-91;Stephany A F Oliveira;SOliv042;Oli629
062546790-36;Guilherme G G Neves;GNeve062;Nev998
112248133-45;Gabriel E F Leão;GLeão112;Leã229
112193975-01;Maria G G Mozany;MMoza112;Moz961
074467389-87;Davi G A Lutkenhaus;DLutk074;Lut509
043289972-04;Leonardo B B Viçoso;LViço043;Viç592
054685815-67;Ana C E Abdalla;AAbda054;Abd391
084626695-23;Lucas B D Couto;LCout084;Cou291
049459923-72;Eric C B Soares;ESoar049;Soa115
104936198-25;Helena D F Souza;HSouz104;Sou890
077917429-14;Daniel F D Gomes;DGome077;Gom376
051022651-45;Joao F A Couto;JCout051;Cou960
093909255-22;Dario C D Alves;DAlve093;Alv840
078433941-16;Arthur E A Fernandes;AFern078;Fer707
067369598-09;Stephany F A Moreira;SMore067;Mor620
041720135-30;Maria C B Nunes;MNune041;Nun183
058149073-56;Pedro G F Guimarães;PGuim058;Gui506
085081193-62;Stephany G G Pinho;SPinh085;Pin318
046386385-15;Guilherme F C Lutkenhaus;GLutk046;Lut102
095254321-19;Matheus F A Guerra;MGuer095;Gue766
043310540-67;Stephany B D Abdalla;SAbda043;Abd544
111646575-37;Erik F G Borges;EBorg111;Bor581
107351704-99;Matheus B G Soares;MSoar107;Soa814
064540979-23;Dario G A Freire;DFrei064;Fre244
093911577-53;Gabriel C F Ramos;GRamo093;Ram334
057627577-42;Gustavo G G Abdalla;GAbda057;Abd353
087832133-29;Arthur B A Batista;ABati087;Bat478
085368308-42;Arthur E G Fraga;AFrag085;Fra178
110102983-96;Ian C B Abdalla;IAbda110;Abd182
054455537-85;Weslley C B Alves;WAlve054;Alv714
065765833-95;Erckson C D Nunes;ENune065;Nun429
046928500-74;Stephany D E Mayrink;SMayr046;May180
046265932-40;Renato E F Lacerda;RLace046;Lac235
104723191-09;Matheus C G Guimarães;MGuim104;Gui557
090784901-91;Felipe A E Alves;FAlve090;Alv398
052857463-66;Pedro G F Ramos;PRamo052;Ram386
079235589-68;Ronilson G C Nunes;RNune079;Nun172
072708441-96;Geovanna A A Leite;GLeit072;Lei849
078346870-89;Luis E C Nunes;LNune078;Nun191
093637964-92;Dario F G Alves;DAlve093;Alv337
077786574-11;Erckson D B Guimarães;EGuim077;Gui864
078759871-08;Guilherme C D Soares;GSoar078;Soa139
067506029-99;Stephany B A Viçoso;SViço067;Viç263
092413702-25;Ana D E Guerra;AGuer092;Gue705
079155829-14;Gustavo F E Ramos;GRamo079;Ram490
108181474-04;Carlos E C Guimarães;CGuim108;Gui107
053723407-62;Felipe F F Braga;FBrag053;Bra350
052041371-88;Vinicius C C Braga;VBrag052;Bra607
105072224-75;Gabriel C C Ramos;GRamo105;Ram895
053113460-08;Petrônio D D Borges;PBorg053;Bor219
112364943-70;Ian F G Freire;IFrei112;Fre873
089397838-88;Petrônio B F Fraga;PFrag089;Fra627
112511726-23;Daniel A E Couto;DCout112;Cou996
073829068-17;Arthur F D Viçoso;AViço073;Viç181
065240192-14;Davi B D Braga;DBrag065;Bra875
041355843-56;Joao C F Guerra;JGuer041;Gue393
042219395-84;Pedro G G Vianna;PVian042;Via863
081054358-57;Vinicius E D Campos;VCamp081;Cam772
067332795-56;Felipe F B Soares;FSoar067;Soa655
044927897-69;Stephanie B G Oliveira;SOliv044;Oli567
110764939-96;Helena A B Soares;HSoar110;Soa492
112127021-47;Fabio E C Amaral;FAmar112;Ama554
045707680-37;Geovanna D E Lima;GLima045;Lim423
060895030-99;Eric E E Lima;ELima060;Lim704
057248296-44;Arthur A E Assis;AAssi057;Ass267
078645240-59;Eric E F Gomes;EGome078;Gom107
061751020-42;Albert C B Neves;ANeve061;Nev440
094639807-89;Ítalo D G Leão;ÍLeão094;Leã521
059171646-41;Clarissa D B Matos;CMato059;Mat813
084125830-10;Ana D C Campos;ACamp084;Cam125
056011847-44;Raissa B D Braga;RBrag056;Bra834
077240967-00;Larissa G B Batista;LBati077;Bat595
087910191-08;Guilherme A E Nascimento;GNasc087;Nas230
084678250-41;Joao E C Alves;JAlve084;Alv220
108280415-68;Lucas F B Mozany;LMoza108;Moz990
107588711-21;Luis F B Souza;LSouz107;Sou723
064342129-40;Davi B G Campos;DCamp064;Cam214
057908489-77;Ian F A Matos;IMato057;Mat662
095636624-81;Raissa E D Pinho;RPinh095;Pin163
044884623-81;Pedro E B Guerra;PGuer044;Gue926
108405396-85;Erckson D D Batista;EBati108;Bat761
064909955-17;Pedro F G Santos;PSant064;San303
089679287-88;Joao G E Amaral;JAmar089;Ama140
089038514-90;Petrônio G G Nunes;PNune089;Nun962
108880542-29;Helena F A Moreira;HMore108;Mor621
111692168-78;Ítalo C A Santos;ÍSant111;San435
090632256-56;Fabio E G Fraga;FFrag090;Fra181
077901321-02;Davi A G Ritschel;DRits077;Rit371
066106306-65;Eric F C Lacerda;ELace066;Lac695
054120971-27;Daniel A G Santos;DSant054;San437
092479342-77;Guilherme F F Alves;GAlve092;Alv168
051273798-44;Fabio E E Amaral;FAmar051;Ama432
080203301-98;Arthur G E Mozany;AMoza080;Moz403
067936045-50;Ian B B Nunes;INune067;Nun244
057174612-65;Petrônio E B Braga;PBrag057;Bra708
062494403-62;Eric C D Silva;ESilv062;Sil814
078073304-10;Ronilson B G Fernandes;RFern078;Fer613
110929603-71;Helena B C Gomes;HGome110;Gom449
086272985-45;Lucas F B Vianna;LVian086;Via353
055312596-19;Lucas C A Neves;LNeve055;Nev454
058578177-66;Weslley F A Souza;WSouz058;Sou682
081452156-77;Joao D D Lutkenhaus;JLutk081;Lut796
071840754-54;Eric G G Lima;ELima071;Lim478
108245290-03;Daniel B C Matos;DMato108;Mat534
048933340-08;Stephany E C Mozany;SMoza048;Moz324
083898220-94;Stephany D E Leão;SLeão083;Leã150
054089830-78;Raissa F F Abdalla;RAbda054;Abd767
087162040-16;Leonardo D F Silva;LSilv087;Sil628
083632038-73;Renato F E Neves;RNeve083;Nev453
040942771-24;Clarissa A A Fraga;CFrag040;Fra538
082715555-39;Joao B D Vianna;JVian082;Via659
047327465-05;Luis E A Mayrink;LMayr047;May160
072394732-18;Vinicius F C Santos;VSant072;San264
071679049-27;Lucas E D Viçoso;LViço071;Viç674
075134118-11;Daniel G F Guimarães;DGuim075;Gui979
056386527-85;Geovanna A D Nunes;GNune056;Nun460
103439241-91;Geovanna C G Borges;GBorg103;Bor852
054170893-80;Felipe E A Lacerda;FLace054;Lac693
